ID,Name,Description,Media_Type,Download_URL,Path_In_Zip,version,Size,Length,Contribution_ID,Date_Updated
88310d07368a0bb62bee72132186b985,annotation-notes.pdf,,application/pdf,media/annotation-notes.pdf,,,211039,,,
c771fe2a30d9530f1476100bbaa4ff44,image.jpg,,image/jpeg,media/image.jpg,,,71090,,,
2e2922c1b0046e03e603a4760e3b83c3,translated-texts.pdf,,application/pdf,media/translated-texts.pdf,,,253113,,,
belt_mp3,mc_tabasaran_belt.mp3,,audio/mpeg,media/mc_tabasaran_belt.mp3,,,5558438,347.376327,belt,
belt_wav,mc_tabasaran_belt.wav,,audio/x-wav,media/mc_tabasaran_belt.wav,,,30634438,347.32873015873014,belt,
belt_eaf,mc_tabasaran_belt.eaf,,application/eaf+xml,media/mc_tabasaran_belt.eaf,,,805497,,belt,
belt_xml,mc_tabasaran_belt.xml,,application/xml,media/mc_tabasaran_belt.xml,,,170371,,belt,
belt_tsv,mc_tabasaran_belt.tsv,,text/tab-separated-values,media/mc_tabasaran_belt.tsv,,,55328,,belt,
horse_mp3,mc_tabasaran_horse.mp3,,audio/mpeg,media/mc_tabasaran_horse.mp3,,,15971055,998.164898,horse,
horse_wav,mc_tabasaran_horse.wav,,audio/x-wav,media/mc_tabasaran_horse.wav,,,88034816,998.1213605442177,horse,
horse_eaf,mc_tabasaran_horse.eaf,,application/eaf+xml,media/mc_tabasaran_horse.eaf,,,2047355,,horse,
horse_xml,mc_tabasaran_horse.xml,,application/xml,media/mc_tabasaran_horse.xml,,,432000,,horse,
horse_tsv,mc_tabasaran_horse.tsv,,text/tab-separated-values,media/mc_tabasaran_horse.tsv,,,143971,,horse,
naz_mp3,mc_tabasaran_naz.mp3,,audio/mpeg,media/mc_tabasaran_naz.mp3,,,4065488,254.066939,naz,
naz_wav,mc_tabasaran_naz.wav,,audio/x-wav,media/mc_tabasaran_naz.wav,,,22405632,254.0263038548753,naz,
naz_eaf,mc_tabasaran_naz.eaf,,application/eaf+xml,media/mc_tabasaran_naz.eaf,,,543211,,naz,
naz_xml,mc_tabasaran_naz.xml,,application/xml,media/mc_tabasaran_naz.xml,,,115145,,naz,
naz_tsv,mc_tabasaran_naz.tsv,,text/tab-separated-values,media/mc_tabasaran_naz.tsv,,,36566,,naz,
nuradin_mp3,mc_tabasaran_nuradin.mp3,,audio/mpeg,media/mc_tabasaran_nuradin.mp3,,,5725203,357.799184,nuradin,
nuradin_wav,mc_tabasaran_nuradin.wav,,audio/x-wav,media/mc_tabasaran_nuradin.wav,,,31554904,357.76485260770977,nuradin,
nuradin_eaf,mc_tabasaran_nuradin.eaf,,application/eaf+xml,media/mc_tabasaran_nuradin.eaf,,,743469,,nuradin,
nuradin_xml,mc_tabasaran_nuradin.xml,,application/xml,media/mc_tabasaran_nuradin.xml,,,155247,,nuradin,
nuradin_tsv,mc_tabasaran_nuradin.tsv,,text/tab-separated-values,media/mc_tabasaran_nuradin.tsv,,,55679,,nuradin,
work_mp3,mc_tabasaran_work.mp3,,audio/mpeg,media/mc_tabasaran_work.mp3,,,14175920,885.96898,work,
work_wav,mc_tabasaran_work.wav,,audio/x-wav,media/mc_tabasaran_work.wav,,,78140416,885.939954648526,work,
work_eaf,mc_tabasaran_work.eaf,,application/eaf+xml,media/mc_tabasaran_work.eaf,,,2407064,,work,
work_xml,mc_tabasaran_work.xml,,application/xml,media/mc_tabasaran_work.xml,,,502118,,work,
work_tsv,mc_tabasaran_work.tsv,,text/tab-separated-values,media/mc_tabasaran_work.tsv,,,162681,,work,
