corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
tabasaran	horse	0001	#	#	#nc	#nc				
tabasaran	horse	0001	mu	PROX(ABS)	nc	nc				
tabasaran	horse	0001	ʁa-x-nu	PFV-(HSG)become-PST	nc	nc				
tabasaran	horse	0001	ʁa-x-un-dar	PFV-(HSG)become-PST-NEG	nc	nc				
tabasaran	horse	0001	sa-r	one-HSG	nc	nc				
tabasaran	horse	0001	q’abi	old	nc	nc				
tabasaran	horse	0001	admi	man(ABS)	nc_np.h	nc_np	h		2003	new
tabasaran	horse	0001	kasib	poor	nc	nc				
tabasaran	horse	0001	[intkal]	NC	nc	nc				
tabasaran	horse	0001	admi	man(ABS)	nc	nc				
tabasaran	horse	0002	#	#	##	##				
tabasaran	horse	0002	muʁa-z	PROX-DAT	dem_pro.h:ncs_poss	dem_pro	h	ncs_poss	2003	
tabasaran	horse	0002	a-ǯi	(IN)be-ICVB	v:pred	v		pred		
tabasaran	horse	0002	šul-u	become-FUT	rv_aux	rv_aux				
tabasaran	horse	0002	šubu-r	three-HSG	ln_num	ln_num				
tabasaran	horse	0002	baž	boy(ABS)	np.h:p	np	h	p	2004	new
tabasaran	horse	0003	#	#	#cv	#cv				
tabasaran	horse	0003	qa	then	other	other				
tabasaran	horse	0003	0	0_old_man	0.h:obl	0	h	obl	2003	
tabasaran	horse	0003	muʁa-n	PROX-GEN	ln_dem_pro.h:poss	ln_dem_pro	h	poss		
tabasaran	horse	0003	ha-mu	EMPH-PROX(ATTR)	ln_dem	ln_dem				
tabasaran	horse	0003	šubu-r	three-HSG	ln_num	ln_num				
tabasaran	horse	0003	baž	boy(ABS)	np.h:s_cv	np	h	s_cv	2004	
tabasaran	horse	0003	=ra	=ADD	=other	=other				
tabasaran	horse	0003	a-ǯi	(IN)be-ICVB	v:pred	v		pred		
tabasaran	horse	0003	#	#	##	##				
tabasaran	horse	0003	#	#	#cv	#cv				
tabasaran	horse	0003	mu-rar.i-n	PROX-PL-GEN	ln_dem_pro.h:poss	ln_dem_pro	h	poss	2004	
tabasaran	horse	0003	ha-m-cːi-b	EMPH-PROX-ADV-NSG	ln	ln				
tabasaran	horse	0003	kasibval	poverty(ABS)	np:s_cv	np		s_cv		
tabasaran	horse	0003	=ra	=ADD	=other	=other				
tabasaran	horse	0003	k-a-ǯi	CONT-be-ICVB	v:predex	v		predex		
tabasaran	horse	0003	%	%	%	%				
tabasaran	horse	0003	mu-rar.i-n	PROX-PL-GEN	ln_dem_pro.h:poss	ln_dem_pro	h	poss	2004	
tabasaran	horse	0003	daši	father(ABS)	np.h:s	np	h	s	2003	
tabasaran	horse	0003	jik’-uru	(HSG)die-FUT	v:pred	v		pred		
tabasaran	horse	0004	#	#	##	##				
tabasaran	horse	0004	daši	father(ABS)	np.h:s	np	h	s	2004	
tabasaran	horse	0004	jik’-uru	(HSG)die-FUT	v:pred	v		pred		
tabasaran	horse	0005	#	#	##	##				
tabasaran	horse	0005	#	#	#ac_pc	#ac_pc				
tabasaran	horse	0005	qa	then	other	other				
tabasaran	horse	0005	daši	father(ABS)	np.h:s_pc	np	h	s_pc	2004	
tabasaran	horse	0005	ʁa-č’-i-gan	PFV-(HSG)die-PFV.PTCP-TEMP	v:pred	v		pred		
tabasaran	horse	0005	%	%	%	%				
tabasaran	horse	0005	mu-rar.i-n	PROX-PL-GEN	ln_dem_pro.h:poss	ln_dem_pro	h	poss	2005	bridging
tabasaran	horse	0005	čpːi-n	REFL.PL-GEN	ln_refl.h:poss	ln_refl	h	poss	2005	
tabasaran	horse	0005	aˁdat	custom(ABS)	np:s	np		s	2006	new
tabasaran	horse	0005	vu-ǯi	COP-ICVB	v:pred	v		pred		
tabasaran	horse	0005	šul-u	become-FUT	rv_aux	rv_aux				
tabasaran	horse	0005	#	#	#cv	#cv				
tabasaran	horse	0005	nuq’	grave(ABS)	np:p	np		p		
tabasaran	horse	0005	uˁ<b>χ-uˁri	<NSG>save-ICVB	v:pred	v		pred		
tabasaran	horse	0005	nuq’	grave(ABS)	other	other				
tabasaran	horse	0005	uˁ<b>χ-uˁri	<NSG>save-ICVB	other	other				
tabasaran	horse	0006	#	#	##	##				
tabasaran	horse	0006	qa	then	other	other				
tabasaran	horse	0006	aba.ji	father(ERG)	np.h:a	np	h	a	2003	
tabasaran	horse	0006	vasijat	will(ABS)	np:p	np		p	2007	new
tabasaran	horse	0006	ap’-uru	do-FUT	v:pred	v		pred		
tabasaran	horse	0006	mu-rar.i-z	PROX-PL-DAT	dem_pro.h:obl	dem_pro	h	obl		
tabasaran	horse	0007	#	#	##ds	##ds				
tabasaran	horse	0007	ǯan	dear	ln_adj	ln_adj				
tabasaran	horse	0007	baž	boy	np.h:voc	np	h	voc	2004	
tabasaran	horse	0007	k’ur	CIT	other	other				
tabasaran	horse	0007	har-ur	each-HSG	ln	ln				
tabasaran	horse	0007	sa-d	one-NSG	ln_num	ln_num				
tabasaran	horse	0007	jis̊.a-n	night-GEN	np:other	np		other		
tabasaran	horse	0007	k’ur	CIT	other	other				
tabasaran	horse	0007	0	0_sons	0.2:s	0	2	s	2004	
tabasaran	horse	0007	dus-un	(HSG)sit-IMP	v:pred	v		pred		
tabasaran	horse	0007	k’ur	CIT	other	other				
tabasaran	horse	0007	#	#	##ds	##ds				
tabasaran	horse	0007	0	0_sons	0.2:a	0	2	a	2004	
tabasaran	horse	0007	jiz	my	ln_pro.1:poss	ln_pro	1	poss	2003	
tabasaran	horse	0007	nuq’	grave(ABS)	np:p	np		p	2008	bridging
tabasaran	horse	0007	uˁ<b>χ-aj	<NSG>save-IMP.PL	v:pred	v		pred		
tabasaran	horse	0007	k’ur	CIT	other	other				
tabasaran	horse	0007	jis̊.u	night(ERG)	np:other	np		other		
tabasaran	horse	0007	jis̊.u	night(ERG)	np:other	np		other		
tabasaran	horse	0008	#	#	##	##				
tabasaran	horse	0008	qa	then	other	other				
tabasaran	horse	0008	baž-ar.i	boy-PL(ERG)	np.h:a	np	h	a	2004	
tabasaran	horse	0008	gardan.ǯi-ʔ	neck-IN	np:l	np		l		
tabasaran	horse	0008	b-is-uru	NSG-catch-FUT	v:pred	v		pred		
tabasaran	horse	0008	#	#	##ds.neg	##ds.neg				
tabasaran	horse	0008	har-ur.i	each-HSG(ERG)	dem_pro.h:a	dem_pro	h	a	2009	bridging
tabasaran	horse	0008	sa-d	one-NSG	ln_num	ln_num				
