corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
tabasaran	naz	0001	#	#	##	##				
tabasaran	naz	0001	urcmi	Urcmi	pn_np.h:ncs_poss	pn_np	h	ncs_poss	3001	new
tabasaran	naz	0001	ab.i-z	old_man-DAT	rn_np.h	rn_np	h			
tabasaran	naz	0001	a-ǯi	(IN)be-ICVB	v:pred	v		pred		
tabasaran	naz	0001	a-x-nu	PFV-(HSG)become-PST	rv_aux	rv_aux				
tabasaran	naz	0001	šubu-r	three-HSG	ln_num	ln_num				
tabasaran	naz	0001	baž	boy(ABS)	np.h:p	np	h	p	3002	new
tabasaran	naz	0001	nuˤraˤli	Nurali(ABS)	pn_np.h:appos	pn_np	h	appos	3003	bridging
tabasaran	naz	0001	χaˤnaˤli	Khanali(ABS)	rn_pn_np.h	rn_pn_np	h		3004	bridging
tabasaran	naz	0001	gülaˤli	Gulali(ABS)	rn_pn_np.h	rn_pn_np	h		3005	bridging
tabasaran	naz	0002	#	#	##	##				
tabasaran	naz	0002	nuˤraˤli	Nurali(ABS)	pn_np.h:s	pn_np	h	s	3003	
tabasaran	naz	0002	lap	very	ln	ln				
tabasaran	naz	0002	dirbaš	brave	ln_adj	ln_adj				
tabasaran	naz	0002	baž	boy(ABS)	np.h:pred	np	h	pred		
tabasaran	naz	0002	vu-ǯi	COP-ICVB	cop	cop				
tabasaran	naz	0002	ʁa-x-nu	PFV-(HSG)become-PST	rv_aux	rv_aux				
tabasaran	naz	0003	#	#	#pc	#pc				
tabasaran	naz	0003	#	#	#cc:p	#cc		p		
tabasaran	naz	0003	fu	what	other	other				
tabasaran	naz	0003	=nu	=FOC	=other	=other				
tabasaran	naz	0003	laˁχin	work(ABS)	np:s	np		s		
tabasaran	naz	0003	vu-š	COP-COND	v:predex	v		predex		
tabasaran	naz	0003	=ra	=ADD	=other	=other				
tabasaran	naz	0003	%	%	%	%				
tabasaran	naz	0003	0	0_Nurali	0.h:a_pc	0	h	a_pc	3003	
tabasaran	naz	0003	uduq’-ru-r	manage-FUT.PTCP-HSG	v:pred	v		pred		
tabasaran	naz	0003	%	%	%	%				
tabasaran	naz	0004	#	#	#pc.neg	#pc.neg				
tabasaran	naz	0004	0	0_Nurali	0.h:ncs_poss_pc	0	h	ncs_poss_pc	3003	
tabasaran	naz	0004	sa-b.ǯi-x-an	one-NSG-APUD-ELAT	ln	ln				
tabasaran	naz	0004	=q’a	=PTCL	=other	=other				
tabasaran	naz	0004	guč’	fear	np:p	np		p		
tabasaran	naz	0004	dar-u-r	COP:NEG-PTCP-HSG	v:pred	v		pred		
tabasaran	naz	0005	#	#	#	#				
tabasaran	naz	0005	0	0_Nurali	0.h:s	0	h	s	3003	
tabasaran	naz	0005	dirbaš	brave	other:pred	other		pred		
tabasaran	naz	0005	u-r	COP-HSG	cop	cop				
tabasaran	naz	0005	#	#	#pc	#pc				
tabasaran	naz	0005	#	#	#cv	#cv				
tabasaran	naz	0005	#	#	#ac_pc	#ac_pc				
tabasaran	naz	0005	naana	where	other:g	other		g		
tabasaran	naz	0005	0	0_Nurali	0.h:s_pc	0	h	s_pc	3003	
tabasaran	naz	0005	ʁ-uš-i-š	PFV-(HSG)go-PFV.PTCP-COND	v:pred	v		pred		
tabasaran	naz	0005	=ra	=ADD	=other	=other				
tabasaran	naz	0005	%	%	%	%				
tabasaran	naz	0005	0	0_Nurali	0.h:a_cp_cv	0	h	a_cp_cv	3003	
tabasaran	naz	0005	laˁχin	work	np:p	np		p		
tabasaran	naz	0005	tamam	end	other:lvc	other		lvc		
tabasaran	naz	0005	d-ap’-nu	PFV-do-PCVB	v:pred	v		pred		
tabasaran	naz	0005	%	%	%	%				
tabasaran	naz	0005	0	0_Nurali	0.h:s_pc	0	h	s_pc	3003	
tabasaran	naz	0005	ʁ-uˁru-r	come-FUT.PTCP-HSG	v:pred	v		pred		
tabasaran	naz	0005	#	#	#pc	#pc				
tabasaran	naz	0005	0	0_Nurali	0.h:s_pc	0	h	s_pc	3003	
tabasaran	naz	0005	vaχt.ni-in-ǯi	time-(IN)LAT-DIR	np:other	np		other		
tabasaran	naz	0005	ʁ-uˁru-r	come-FUT.PTCP-HSG	v:pred	v		pred		
tabasaran	naz	0006	#	#	##	##				
tabasaran	naz	0006	0	0_Nurali	0.h:s	0	h	s	3003	
tabasaran	naz	0006	ha-cːi-r	EMPH-(DIST)ADV-HSG	other	other				
tabasaran	naz	0006	lap	very	ln	ln				
tabasaran	naz	0006	k’uban	capable	ln_adj	ln_adj				
tabasaran	naz	0006	baž	boy(ABS)	np.h:s	np	h	s		
tabasaran	naz	0006	vu-ǯi	COP-ICVB	cop	cop				
tabasaran	naz	0006	ʁa-x-nu	PFV-(HSG)become-PST	rv_aux	rv_aux				
tabasaran	naz	0007	#	#	##	##				
tabasaran	naz	0007	χaˤnaˤli	Khanali	pn_np.h:dt_ncs	pn_np	h	dt_ncs	3004	
tabasaran	naz	0007	znachit	so	other	other				
tabasaran	naz	0007	naˁhaˁq-val	wrong-ABSTR(ABS)	np:p	np		p		
tabasaran	naz	0007	k-a-ǯi	CONT-be-ICVB	v:pred	v		pred		
tabasaran	naz	0007	a-b-x-nu	PFV-NSG-become-PST	rv_aux	rv_aux				
