corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
tabasaran	nuradin	0001	#	#	##	##				
tabasaran	nuradin	0001	﻿malla	mullah	ln	ln				
tabasaran	nuradin	0001	aˁleskr.a-z	Aleskar-DAT	pn_np.h:ncs_poss	pn_np	h	ncs_poss	4001	new
tabasaran	nuradin	0001	a-di	(IN)be-ICVB	v:pred	v		pred		
tabasaran	nuradin	0001	šul-u	become-FUT	rv_aux	rv_aux				
tabasaran	nuradin	0001	sa-r	one-HSG	ln_num	ln_num				
tabasaran	nuradin	0001	baj	boy(ABS)	np.h:p	np	h	p	4002	new
tabasaran	nuradin	0001	nuradin	Nuradin(ABS)	pn_np.h:appos	pn_np	h	appos	4002	
tabasaran	nuradin	0002	#	#	##	##				
tabasaran	nuradin	0002	nuradin	Nuradin(ABS)	pn_np.h:voc	pn_np	h	voc	4002	
tabasaran	nuradin	0002	dumu	3.P(ABS)	dem_pro.h:s	dem_pro	h	s	4002	
tabasaran	nuradin	0002	a-x-nu	PFV-(HSG)-become-PST	v:pred	v		pred		
tabasaran	nuradin	0002	aʁzur	thousand	ln	ln				
tabasaran	nuradin	0002	=na	=ADD	=ln	=ln				
tabasaran	nuradin	0002	miržidvaž	eight_hundred	ln	ln				
tabasaran	nuradin	0002	=na	=ADD	=ln	=ln				
tabasaran	nuradin	0002	miržc’ur	eighty	=ln	=ln				
tabasaran	nuradin	0002	=na	=ADD	=ln	=ln				
tabasaran	nuradin	0002	urgu-b-pːi	seven-NSG-ORD	ln_adj	ln_adj				
tabasaran	nuradin	0002	jis.a-n	year-GEN	np:other	np		other		
tabasaran	nuradin	0003	#	#	##	##				
tabasaran	nuradin	0003	#	#	#cv	#cv				
tabasaran	nuradin	0003	0	0_Nuradin	0.h:s_cv	0	h	s_cv	4002	
tabasaran	nuradin	0003	lap	very	other	other				
tabasaran	nuradin	0003	bic’i-ǯi	small-ADV	other	other				
tabasaran	nuradin	0003	imi-ǯi	stay-ICVB	v:pred	v		pred		
tabasaran	nuradin	0003	%	%	%	%				
tabasaran	nuradin	0003	#	#	#cv	#cv				
tabasaran	nuradin	0003	0	0_Nuradin	0.h:s_cv	0	h	s_cv	4002	
tabasaran	nuradin	0003	baj-ǯi	boy-ADV	np:other	np		other		
tabasaran	nuradin	0003	imi-ǯi	stay-ICVB	v:pred	v		pred		
tabasaran	nuradin	0003	%	%	%	%				
tabasaran	nuradin	0003	mu	PROX(ABS)	dem_pro.h:s_cp	dem_pro	h	s_cp	4002	
tabasaran	nuradin	0003	maˁʁrum	lack	other:lvc	other		lvc		
tabasaran	nuradin	0003	šul-u	become-FUT	v:pred	v		pred		
tabasaran	nuradin	0003	adaš.i-q	father-POST	np.h:obl	np	h	obl	4001	
tabasaran	nuradin	0003	=ra	=ADD	=rn	=rn				
tabasaran	nuradin	0003	va	and	rn	rn				
tabasaran	nuradin	0003	sa-b	one-NSG	ln_num	ln_num				
tabasaran	nuradin	0003	c’ib	little	ln_adj	ln_adj				
tabasaran	nuradin	0003	vaχt.n-al-an	time-SUPER-ELAT	np:other	np		other		
tabasaran	nuradin	0003	dadaj.i-q	mother-POST	np.h:obl	np	h	obl	4003	bridging
tabasaran	nuradin	0003	=ra	=ADD	=rn	=rn				
tabasaran	nuradin	0004	#	#	##	##				
tabasaran	nuradin	0004	#	#	#cv.neg	#cv.neg				
tabasaran	nuradin	0004	#	#	#cv	#cv				
tabasaran	nuradin	0004	0	0_Nuradin	0.h:s_cv	0	h	s_cv	4002	
tabasaran	nuradin	0004	marcːi	clean	other	other				
tabasaran	nuradin	0004	jitim	orphan(ABS)	np.h:other	np	h	other		
tabasaran	nuradin	0004	du-x-nu	PFV-HSG-become-PCVB	v:pred	v		pred		
tabasaran	nuradin	0004	%	%	%	%				
tabasaran	nuradin	0004	k’ul-ǯi	head-ADV	other	other				
tabasaran	nuradin	0004	χla-ʔ	house-IN	np:l	np		l	4004	bridging
tabasaran	nuradin	0004	muvu	PROX(ERG)	dem_pro.h:a	dem_pro	h	a	4002	
tabasaran	nuradin	0004	#	#	#cc_cv:p	#cc_cv		p		
tabasaran	nuradin	0004	0	0_Nuradin	0.h:a_cv	0	h	a_cv	4002	
tabasaran	nuradin	0004	hap’-ru-š	what_do-FUT-COND	v:pred	v		pred		
tabasaran	nuradin	0004	%	%	%	%				
tabasaran	nuradin	0004	aˁj-dar-ǯi	know-NEG-ICVB	v:pred	v		pred		
tabasaran	nuradin	0004	#	#	#cv.neg	#cv.neg				
tabasaran	nuradin	0004	#	#	#cc:p	#cc		p		
tabasaran	nuradin	0004	0	0_Nuradin	0.h:a	0	h	a	4002	
tabasaran	nuradin	0004	fu	what	ln	ln				
tabasaran	nuradin	0004	kespi	craft(ABS)	np:p	np		p		
tabasaran	nuradin	0004	ap’-uru-š	do-FUT-COND	v:pred	v		pred		
tabasaran	nuradin	0004	%	%	%	%				
tabasaran	nuradin	0004	#	#	#cc:other	#cc		other		
tabasaran	nuradin	0004	0	0_Nuradin	0.h:a	0	h	a	4002	
tabasaran	nuradin	0004	0	0_what	0:p	0		p		
tabasaran	nuradin	0004	d-u<b>ʁ-uru-š	PFV-<NSG>study-FUT-COND	v:pred	v		pred		
tabasaran	nuradin	0004	%	%	%	%				
tabasaran	nuradin	0004	0	0_Nuradin	0.h:a_cv	0	h	a_cv	4002	
tabasaran	nuradin	0004	aˁj-dar-ǯi	know-NEG-ICVB	v:pred	v		pred		
tabasaran	nuradin	0004	%	%	%	%				
tabasaran	nuradin	0004	#	#	#cv	#cv				
tabasaran	nuradin	0004	0	0_Nuradin	0.h:s_cv	0	h	s_cv	4002	
tabasaran	nuradin	0004	ha-m-cːi	EMPH-PROX-ADV	dem_pro:other	dem_pro		other		
tabasaran	nuradin	0004	kasib-val.i	poor-ABSTR(IN)	np:other	np		other		
tabasaran	nuradin	0004	aˁǯuz-val.i	helpless-ABSTR(IN)	np:other	np		other		
tabasaran	nuradin	0004	darval.i	need(IN)	np:other	np		other		
tabasaran	nuradin	0004	a-ǯi	(IN)be-ICVB	v:pred	v		pred		
tabasaran	nuradin	0004	%	%	%	%				
tabasaran	nuradin	0004	#	#	#cv	#cv				
tabasaran	nuradin	0004	0	0_Nuradin	0.h:s_cv	0	h	s_cv	4002	
tabasaran	nuradin	0004	dus-nu	(HSG)sit-PCVB	v:pred	v		pred		
tabasaran	nuradin	0004	%	%	%	%				
tabasaran	nuradin	0004	fikr-ar	thought-PL(ABS)	other:lvc	other		lvc		
tabasaran	nuradin	0004	ap’-ura-ji	do-PRS-PST	v:pred	v		pred		
tabasaran	nuradin	0004	nuradin-ǯi	Nuradin-ERG	pn_np.h:a_cp	pn_np	h	a_cp	4002	
tabasaran	nuradin	0005	#	#	##	##				
tabasaran	nuradin	0005	k’ul.i-z	head-DAT	np:g	np		g	4005	bridging
tabasaran	nuradin	0005	ʁ-uˁru	come-FUT	v:pred	v		pred		
tabasaran	nuradin	0005	#	#	##ds	##ds				
tabasaran	nuradin	0005	uzu	I(ERG)	pro.1:a	pro	1	a	4002	
tabasaran	nuradin	0005	k’ur	CIT	other	other				
tabasaran	nuradin	0005	vallah	INTERJ	other	other				
tabasaran	nuradin	0005	k’ur	CIT	other	other				
tabasaran	nuradin	0005	usta-val	master-ABSTR(ABS)	np.h:p	np	h	p		
tabasaran	nuradin	0005	du<b>ʁ-iǯi	<NSG>study-FUT	v:pred	v		pred		
tabasaran	nuradin	0005	=za	=1SG:AG	=rv-pro_1_a	=rv-pro_1_a				
tabasaran	nuradin	0005	k’ur	CIT	other	other				
tabasaran	nuradin	0006	#	#	##neg	##neg				
tabasaran	nuradin	0006	#	#	#ac.neg	#ac.neg				
tabasaran	nuradin	0006	haz	because	adp	adp				
tabasaran	nuradin	0006	ʁa-p-i-š	PFV-say-PFV.PTCP-COND	ln	ln				
tabasaran	nuradin	0006	čara	solution(ABS)	np:s	np		s	4006	bridging
tabasaran	nuradin	0006	a-dar	(IN)be-PRS.NEG	v:predex	v		predex		
tabasaran	nuradin	0006	%	%	%	%				
tabasaran	nuradin	0006	muva-z	PROX-DAT	dem_pro.h:ncs_poss	dem_pro	h	ncs_poss	4002	
tabasaran	nuradin	0006	dus-ru	(HSG)sit-FUT.PTCP	ln	ln				
tabasaran	nuradin	0006	χal	house(ABS)	np:p	np		p		
tabasaran	nuradin	0006	a-dar	(IN)be-PRS.NEG	v:pred	v		pred		
tabasaran	nuradin	0007	#	#	#pc.neg	#pc.neg				
tabasaran	nuradin	0007	ja	or	other	other				
tabasaran	nuradin	0007	muva-z	PROX-DAT	dem_pro.h:ncs	dem_pro	h	ncs	4002	
tabasaran	nuradin	0007	ča-n	REFL.SG-GEN	ln_refl.h:poss	ln_refl	h	poss	4002	
tabasaran	nuradin	0007	aba.ji-l-an-ti-na	old_man-SUPER-ELAT-DIST-LAT	np.h:obl	np	h	obl	4001	
tabasaran	nuradin	0007	#	#	#ac	#ac				
tabasaran	nuradin	0007	0	0_Aleskar	0.h:s	0	h	s		
tabasaran	nuradin	0007	malla	mullah(ABS)	np.h:pred	np	h	pred		
tabasaran	nuradin	0007	vu	COP	cop	cop				
tabasaran	nuradin	0007	du-p-nu	PFV-say-PST	other	other				
tabasaran	nuradin	0007	%	%	%	%				
tabasaran	nuradin	0007	sa-b	one-NSG	ln_num	ln_num				
tabasaran	nuradin	0007	č’ur	pasture(ABS)	np:p_pc	np		p_pc		
tabasaran	nuradin	0007	ilib-ru-b	put-FUT.PTCP-NSG	v:pred	v		pred		
tabasaran	nuradin	0007	=si	=like	=other	=other				
tabasaran	nuradin	0007	jis̊	place(ABS)	rn_np	rn_np				
tabasaran	nuradin	0007	=ra	=ADD	=other	=other				
tabasaran	nuradin	0007	#	#	#cv.neg	#cv.neg				
tabasaran	nuradin	0007	0	0_Nuradin	0.2:ncs_poss_cv	0	2	ncs_poss_cv	4002	
tabasaran	nuradin	0007	maz̊g˳l-ar.i-n	Mežgül-PL-GEN	ln_pn_np:poss	ln_pn_np		poss	4007	unused
tabasaran	nuradin	0007	č’ur.ǯi-k	pasture-CONT	np:p	np		p		
tabasaran	nuradin	0007	k-tar-ǯi	CONT-be.NEG-ICVB	v:pred	v		pred		
tabasaran	nuradin	0007	%	%	%	%				
tabasaran	nuradin	0007	#	#	#cv.neg	#cv.neg				
tabasaran	nuradin	0007	0	0_Nuradin	0.h:ncs_poss_cv	0	h	ncs_poss_cv	4002	
tabasaran	nuradin	0007	paj	part(ABS)	np:p	np		p		
tabasaran	nuradin	0007	=ra	=ADD	=other	=other				
tabasaran	nuradin	0007	k-tar-ǯi	CONT-be.NEG-ICVB	v:predex	v		predex		
tabasaran	nuradin	0008	#	#	##neg	##neg				
tabasaran	nuradin	0008	ja	or	other	other				
tabasaran	nuradin	0008	χaˁn.a	cowshed(IN)	np:l	np		l	4008	new
tabasaran	nuradin	0008	mal	cattle(ABS)	np:s	np		s		
tabasaran	nuradin	0008	a-dar	(IN)be-PRS.NEG	v:predex	v		predex		
tabasaran	nuradin	0008	muva-n	PROX-GEN	rn_dem_pro.h:poss	rn_dem_pro	h	poss	4002	
tabasaran	nuradin	0008	#	#	##neg	##neg				
tabasaran	nuradin	0008	ja	or	other	other				
tabasaran	nuradin	0008	rakːn.i-in	coop-SUPER	np:l	np		l	4009	new
tabasaran	nuradin	0008	peʔ	hen(ABS)	np:s	np		s		
tabasaran	nuradin	0008	šuˁq	chicken(ABS)	rn_np	rn_np				
tabasaran	nuradin	0008	#	#	##	##				
tabasaran	nuradin	0008	#	#	#cv.neg	#cv.neg				
tabasaran	nuradin	0008	sa-b	one-NSG	ln_num	ln_num				
tabasaran	nuradin	0008	mutmu	thing(ABS)	np:s_cv	np		s_cv		
tabasaran	nuradin	0008	al-dar-ǯi	SUPER-be.NEG-ICVB	v:pred	v		pred		
tabasaran	nuradin	0008	%	%	%	%				
tabasaran	nuradin	0008	ha-m-cːi	EMPH-PROX-ADV	dem_pro:other	dem_pro		other		
tabasaran	nuradin	0008	lap	very	other	other				
tabasaran	nuradin	0008	aˁǯuz-val.i-in-ǯi	helpless-ABSTR-SUPER-DIR	other	other				
tabasaran	nuradin	0008	#	#	#cv	#cv				
tabasaran	nuradin	0008	0	0_Nuradin	0.h:s_cv	0	h	s_cv	4002	
tabasaran	nuradin	0008	jitim	orphan(ABS)	np.h:other	np	h	other		
tabasaran	nuradin	0008	du-x-nu	PFV-(HSG)become-PCVB	v:pred	v		pred		
tabasaran	nuradin	0008	%	%	%	%				
tabasaran	nuradin	0008	0	0_Nuradin	0.h:a	0	h	a	4002	
tabasaran	nuradin	0008	gaˁ<b>ʁ-ru	<NSG>start-FUT	v:pred	v		pred		
tabasaran	nuradin	0008	muva-n	PROX-GEN	ln_dem_pro.h:poss	ln_dem_pro	h	poss	4002	
tabasaran	nuradin	0008	uˁmur	life(ABS)	np:p	np		p	4010	bridging
tabasaran	nuradin	0009	#	#	##neg	##neg				
tabasaran	nuradin	0009	jitim	orphan(ABS)	ln	ln				
